sentence,sample_index,consistency_score
"He proposed that light consists of discrete energy packets, now known as photons.",1,0.25583065
8.,4,0.25682354
"Although he was not successful in his lifetime, the search for a unified field theory inspired later generations of physicists and played a crucial role in the development of modern theories such as string theory and supergravity.",3,0.25720847
1.,2,0.2573284
7.,1,0.25888047
5.,0,0.2588929
6.,2,0.26026356
1.,1,0.26057628
2.,0,0.2621031
"The theory also introduced the famous equation E=mc^2, where E represents energy, m stands for mass, and c is the speed of light.",3,0.26234174
1.,3,0.26311755
7.,3,0.26314327
6.,1,0.26398012
3.,0,0.2653331
"Although he never fully succeeded, his work paved the way for further developments in this area and inspired other physicists, such as Stephen Hawking, to continue exploring these ideas.",2,0.26748392
5.,2,0.2680248
"Development of the Quantum Theory of Light: In addition to explaining the photoelectric effect, Einstein's work on the quantum theory of light laid the foundation for our understanding of quantum mechanics, which is a fundamental framework used to describe the behavior of matter and energy at the smallest scales.",3,0.26895386
2.,2,0.26934117
7.,4,0.26952007
"Theory of Special Relativity (1905): Albert Einstein published his paper ""On the Electrodynamics of Moving Bodies,"" which introduced the theory of special relativity.",1,0.2696824
"The general theory of relativity extended the special theory to include acceleration and gravity, predicting phenomena such as gravitational waves, the bending of light in a gravitational field, and the expansion of the universe.",0,0.26997188
"General Theory of Relativity (1915): An extension of his special theory, Einstein's general theory described gravity as a curvature of spacetime caused by mass and energy.",2,0.2702533
5.,1,0.27130577
These groundbreaking theories have had a profound impact on our understanding of physics.,4,0.2717963
Theory of General Relativity (1915): This expanded upon special relativity by including gravity.,1,0.27201644
1.,4,0.27202952
6.,4,0.2724847
"Unified Field Theory: Throughout his life, Einstein struggled to develop a unified field theory that would combine gravity and electromagnetism into a single theoretical framework.",2,0.27269363
"Unified Field Theory: Throughout his career, Einstein pursued a unified theory of gravity and electromagnetism, aiming to find a mathematical description that would describe all fundamental forces in nature.",3,0.2729335
"Theory of General Relativity (1915): Building on his special relativity theory, Einstein's general theory of relativity provided a comprehensive explanation for the gravitational effects observed in the universe.",3,0.27337533
3.,2,0.2737763
2.,1,0.2746947
5.,3,0.27594516
2.,3,0.2769192
"Humanitarian Efforts: Einstein's activism extended beyond the realm of physics, as he became a vocal opponent of war and violence, including nuclear weapons.",1,0.27707443
4.,0,0.27742165
3.,1,0.2780118
"Contributions to Statistical Mechanics: Einstein made significant contributions to statistical mechanics through his study of the distribution of molecules in a gas and the derivation of the famous equation describing the average energy (E) of a single particle in an ideal gas at temperature T, known as the Einstein relation: E = 3/2 k_B T.

6.",3,0.2782156
"Photoelectric Effect (1905): Einstein explained the photoelectric effect by proposing that light consists of discrete packets of energy, which we now call photons.",0,0.27893847
"Although he was not successful in creating a fully consistent theory, his efforts laid the groundwork for further advancements in the fields of quantum mechanics and general relativity.",4,0.2809381
3.,3,0.28100064
5.,4,0.28154752
"Unified Field Theory: Throughout his career, Einstein worked on developing a unified field theory that would combine electromagnetism and gravity into a single, coherent framework.",4,0.2830829
2.,4,0.28391176
Special Theory of Relativity (1905): This revolutionary theory changed our understanding of space and time.,2,0.2840528
4.,2,0.2858756
"Development of the Unified Field Theory: Although he was never able to fully complete it, Einstein spent most of his scientific career seeking a unified theory of gravitation and electromagnetism, aiming to combine general relativity with quantum mechanics.",1,0.28747255
3.,4,0.28803962
4.,1,0.29105055
"Unified Field Theory: Einstein spent much of his later life attempting to develop a unified field theory that would describe all fundamental forces in the universe using a single mathematical framework, including electromagnetic force and gravitation.",0,0.29253864
4.,3,0.2936782
"Theory of Relativity: Albert Einstein is most famous for his two theories that describe gravity and the relationship between space and time, known as the Special Theory of Relativity (1905) and the General Theory of Relativity (1915).",4,0.29431447
"His explanation, that light behaves as discrete energy packets called photons, earned him the Nobel Prize in Physics in 1921.",2,0.30111828
4.,4,0.3014798
"Theory of Special Relativity (1905): Einstein published four papers in the Annus Mirabilis Year, one of which described his theory of special relativity, which fundamentally changed our understanding of space and time by showing that they are interconnected as a four-dimensional spacetime structure.",0,0.30183196
Einstein's contributions to science and our understanding of the universe have earned him a place among the most influential scientists in history.,4,0.3025754
"Despite this award being given for a different achievement than the theory of relativity, it is often associated with Einstein's broader contributions to science.",4,0.3058425
Theory of General Relativity (1915): This is Einstein's most famous achievement.,0,0.3216295
"Development of Quantum Theory: Although he had reservations about the complete accuracy of quantum mechanics, Einstein contributed significantly to its development through his work on the statistical nature of particles and the understanding of light as both a wave and a particle (wave-particle duality).",0,0.33003846
